Name,Logo URL,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Total Funding Equity,Number of Employees,Headquarters Location,Competitors,Founded Date
Mistral AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/70b627f4448c48aaa6e587e86cb0eaeb","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Open Source, Software","Mistral AI is a company specialising in developing advanced artificial intelligence solutions. They focus on creating state-of-the-art AI models that cater to a variety of applications, from natural language processing to complex problem-solving. Mistral AI aims to push the boundaries of AI technology by leveraging cutting-edge research and development. Their offerings are designed to help businesses and organisations harness the power of AI for improved efficiency, innovation, and decision-making.",Mistral AI is an AI startup that provides developers and businesses access to open and portable generative AI solutions.,"NVIDIA, General Catalyst, Headline, Bpifrance, Andreessen Horowitz",Series B,"€468,000,000","€973,000,000",51-100,"Paris, Ile-de-France, France",10,2023
Read AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/japepdusatpwer4mx8uj","Analytics, Artificial Intelligence (AI), Enterprise Software, Machine Learning, Meeting Software, Software","Read AI helps enhance meeting wellness by providing better scheduling options, real-time analytics, and detailed meeting summaries to keep everyone on the same page. The tool offers AI-generated summaries, known as “Readouts”, for email and messaging platforms like Gmail, Outlook, Teams, and Slack, streamlining communication. Read AI is capable of summarizing video calls across various platforms, including Zoom, Microsoft Teams, and Google Meet, making it versatile for different meeting types.","Read AI is a productivity AI company that enhances workflows with meeting analytics, scheduling, and summaries across messages and email.","Goodwater Capital, Madrona, PSL Ventures, Smash Capital, Brian Ma",Series B,"$50,000,000","$81,000,000",11-50,"Seattle, Washington, United States",7,2021
11x,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/c07mjamwqaq63cuqo8cv","Artificial Intelligence (AI), Information Technology, Software","11x develops autonomous digital workers to help organizations optimize their processes. The company focuses on simplifying go-to-market (GTM) operations by automating specific roles, allowing businesses to save on hiring budgets. Its primary products include Alice, an AI-powered sales development representative, and Jordan.",11x develops autonomous digital workers to help organizations optimize their processes.,"Andreessen Horowitz, Abstract Ventures, Quiet Capital, Benchmark, Mandeep Singh",Series B,"$50,000,000","$76,000,000",51-100,"London, England, United Kingdom",7,Sep 2022
Miros,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/q5xw5cz795wwlsvqhaxu","Artificial Intelligence (AI), E-Commerce, Fashion, Product Search, Retail Technology, Search Engine","Miros utilizes advanced AI technology to analyze shopper behaviors, identifying key interactions like scrolls and clicks to enhance user experience. This innovative feature allows customers to browse the store without typing, improving engagement and simplifying the shopping process. Miros also offers insights and expert blogging on leveraging AI for product discovery to help grow e-commerce businesses. --- eCommerce loses half of its sales because in this industry nobody knows how to make the products findable. If you can’t find, you can’t buy. No universal taxonomy exists to describe visual items. Shoppers do not know the right words to search for what they like. Meanwhile, because you can’t filter products by how much you like them, you’ll have to browse thousands of products – many of which you’ll dislike. When shopping feels tedious, the shopper quits. Miros gives shoppers a new language to express what they are looking for - far richer and more accurate than any existing search technology.","Miros utilizes AI technology to analyze shopper behaviors, identifying key interactions like scrolls and clicks to enhance user experience.","Everywhere Ventures, Tera Ventures, EBRD Venture Capital, ZAKA VC, Look AI Ventures",Seed,"€6,000,000","€9,400,000",11-50,"Tallinn, Harjumaa, Estonia",26,Oct 2021
Concentric AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ngoy74xt7bulllhenxcp","Artificial Intelligence (AI), Network Security, Software","Concentric’s Semantic Intelligence solution delivers data risk insights across the entire inventory of sensitive documents in the cloud and on-premises. Its deep learning technology examines each document’s content and context for efficient actionable security. It scans the documents, identifies sensitive or business-critical data, evaluates the risk each document poses, and highlights critical concerns that need immediate attention. The company was founded in 2018 and is headquartered in San Jose, California.","Concentric AI delivers data risk assessment, monitoring, and protection for corporate data.","Ballistic Ventures, Citi Ventures, HarbourVest Partners, Top Tier Capital Partners, Clear Ventures",Series B,"$45,000,000","$67,000,000",51-100,"San Jose, California, United States",2,Nov 2018
Decagon,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/e0779b5e58c94c77bce457ce9a6ed2dc","Artificial Intelligence (AI), Generative AI, Software",Decagon creates generative AI for building customer service agents that work much more like humans and its platform gives customer support team leaders more visibility into their automated customer experience operations,Decagon builds generative AI customer service agents for the enterprise.,"Accel, Andreessen Horowitz, Bond, Elad Gil, Bain Capital Ventures",Series B,"$65,000,000","$100,000,000",11-50,"San Francisco, California, United States",10,2023
interface.ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/eycvxhhfikh54py6vhxi","Enterprise Software, FinTech","interface.ai is an award-winning out-of-the-box Intelligent Virtual Assistant(IVA) that acts as a “personal bank teller” to help customers 24x7 through every step of the journey from being a prospect to achieving financial wellness. interface.ai has grown over 1600% in the last year from a couple of million dollars to several tens of millions of dollars in revenues. The company has won several industry awards including the coveted Finovate and CUNA Council 'Best of Show' awards. Currently, interface.ai powers 70+ financial institutions in the United States with their Artificial Intelligence-powered solutions and is one of the fastest-growing fintech providers across the globe.",interface.ai is an award-winning out-of-the-box Intelligent Virtual Assistant(IVA) for Banks & Credit Unions.,Avataar Venture Partners,Series A,"$20,000,000","$20,000,000",51-100,"San Francisco, California, United States",4,"Mar 26, 2019"
Sapien,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/p7trrirudinimpazk1uc","Artificial Intelligence (AI), Data Management, Information Technology","Sapien, established in 2023, is a data labeling company dedicated to enhancing AI model training through scalable, high-quality data labeling services. By combining advanced technology, blockchain rewards, human feedback, and domain expertise, Sapien enables AI model development across multiple industries, including healthcare, finance, and education technology, among many others. The company's approach to data labeling through gamification and positive reinforcement ensures superior data quality output and high retention rates from labelers, and cost-effectiveness for customers. Sapien's commitment to quality, scalability, and customer focus, along with its mission to foster ethical and impactful AI advancements, sets it apart as a leading trusted partner for businesses developing high-performance AI models.",Sapien is engaged in aiding organizations in preparing data for AI training through a consumer game called 'Train2Earn.',"Kevin Jiang, Yield Guild Games, HFO, Animoca Ventures, Variant",Seed,"$10,500,000","$15,500,000",11-50,"San Francisco, California, United States",10,"Sep 15, 2023"
Rad AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ufzt8xwdhpqa47l3rinx","Artificial Intelligence (AI), Enterprise Software, Health Care, Medical","Rad AI develops an artificial intelligence automated report generation platform to automate repetitive tasks for radiologists. Its platform integrates with existing workflow, automating repetitive tasks, and enabling radiologists to improve radiology workflow that maximizes efficiency and accuracy while reducing burnout for radiologists and improving patient care.","Rad AI develops software that uses AI to automate radiology report writing, aiming to enhance accuracy and reduce radiologist burnout.","Khosla Ventures, Gradient, Precursor Ventures, WiL (World Innovation Lab), Array Ventures",Series B,"$50,000,000","$83,000,000",51-100,"San Francisco, California, United States",9,2018
Hebbia,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/66d31df493c14db2916225c22d9e71e2","Artificial Intelligence (AI), Business Intelligence, Productivity Tools, Software","Hebbia is the interface for AGI– the first AI platform that works the way humans work. Designed to tackle even the most complex tasks, it turns prompts into processes that AI agents complete. Finance, law, government, and pharma professionals from the world’s largest institutions are using Hebbia to execute workflows with hundreds of steps over millions of documents. While other systems are a black box, Hebbia shows its work, letting users verify, trust, and collaborate with AI.",Hebbia is an AI platform that helps companies transform heaps of information into insights.,"Andreessen Horowitz, Google Ventures, Index Ventures, Sahin Boydas, Abstract Ventures",Series B,"$130,000,000","$161,100,000",51-100,"New York, New York, United States",7,"Aug 14, 2020"
Omneky,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/mebn2snxmhhp94nqbdle","Advertising Platforms, Artificial Intelligence (AI), Content, Data Integration, Graphic Design, Intelligent Systems, Machine Learning, Mobile Advertising, Personalization, Video Advertising","Omneky is an AI-powered platform that helps businesses create effective advertising campaigns. It uses machine learning to generate and test different ad creatives, analyze performance data, and optimize campaigns for maximum impact. With Omneky, marketers can save time and money while improving their return on ad spend.",Omneky generates personalized ads at scale.,"Village Global, Nomura, Hyphen Capital, DG Daiwa Ventures, Deepcore",Seed,"$10,000,000","$13,000,000",11-50,"San Francisco, California, United States",8,May 2018
Tabs,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/71ab283e34a74931a3b037b4919e4e41","Artificial Intelligence (AI), SaaS, Software","Tabs is the first AI Driven Revenue Automation Platform that automates the process of administering customer contracts, billing, revenue recognition, renewals and audit. CFOs consider it to be the Rippling or Ramp equivalent, but for Revenue Automation. Our ""commercial graph"" ingests 1) any customer documents (e.g. MSAs, order forms, amendments, emails, CRM data) and 2) any usage sources (e.g. BI tools, first party CSV uploads) to automatically surface key terms, create billing schedules and tabulate invoices, supporting any pricing model without any structured data mapping or implementation. Our automated workflows enable seamless invoice delivery (via email or directly into AP portals); modern dunning; and cash application all within the same piece of software, while integrating with tax providers, major payment rails and general ledgers/ERPs (e.g. Quickbooks & Netsuite). All of this comes with advanced analytics, reporting and revenue recognition. On average we save hundreds of human hours a year while bringing down the average time to collect by ~20 days.",Tabs is the first AI Driven Revenue Automation Platform for B2B Finance,"General Catalyst, Alumni Ventures, Lightspeed Venture Partners, Primary Venture Partners, Liquid 2 Ventures",Series A,"$25,000,000","$37,000,000",51-100,"New York, New York, United States",10,2023
Rollstack,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/sf2yjmwihhco2thklzyo","Analytics, Artificial Intelligence (AI), Business Intelligence, Productivity Tools, Sales Automation","Rollstack automatically generates and updates slide decks and documents reports using data from various sources, including Business Intelligence (BI) tools, CRMs, and data warehouses. Fortune 500 and mid-sized companies use Rollstack to automate leadership reporting, business reviews, financial reporting, and client presentations.",Rollstack automatically creates and updates slide decks and documents.,"Y Combinator, Insight Partners, UpHonest Capital, Eight Capital, Goodwater Capital",Series A,"$11,000,000","$12,925,000",11-50,"New York, New York, United States",9,2022
Oxla,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wn2ejrokdgeg7lb7mnye","Analytics, Big Data, Database","Meet Oxla, the world's fastest-distributed database, designed to handle large amounts of data with ease. Our unique, simple structure allows 10x faster query execution than the current state-of-the-art solutions (e.g. Snowflake) and data infrastructure cost reduction by up to 70%. Our solution is perfect for companies processing large amounts of data in industries such as business intelligence, IoT, cybersecurity, ad tech, data science, or AI/ML coaching.",Oxla is a SaaS company that offers a distributed database designed to handle large amounts of data with ease.,"TQ Ventures, Lead Ventures, Warsaw Equity Group, 4growth VC",Seed,"$11,000,000","$11,000,000",11-50,"Warsaw, Mazowieckie, Poland",10,"Jul 24, 2020"
Sifflet,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vwtorm1zj6ckkgidqlvu","Analytics, Information Technology, SaaS, Software","Sifflet is a cloud-native solution designed to help businesses create value from their data. The company provides data quality, traceability, and visibility in one location. They are a collection of dedicated individuals on a quest to reduce data entropy.",Sifflet is a data stack observability platform that delivers actionable insights to data engineers and data consumers.,"Bessemer Venture Partners, Mangrove Capital Partners, EQT Ventures, AGORANOV, Salomon Aiach",Series A,"$12,800,000","$17,800,000",11-50,"Paris, Ile-de-France, France",8,Jun 2021
Dyania Health,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/jwhyfefhumbi2nlbm6q9","Clinical Trials, Health Care, Natural Language Processing, Software","Dyania Health is an NLP-based technology for pre-screening EMRs' unstructured and structured data to find patients who could be exact matches for clinical trials during a narrow window of time when their clinical characteristics match research protocol criteria. Our clients are pharma companies and healthcare systems. The company was founded in 2019 and is based in Jersey City, NJ.",Dyania Health develops a natural language processing designed to accelerate clinical research through EMR-based patient pre-screening,"Motivate Venture Capital, Tech Square Ventures, Innospark Ventures, Big Pi Ventures, Genesis Ventures",Series A,"$10,000,000","$15,300,000",11-50,"Jersey City, New Jersey, United States",5,2019
Eon,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fc5a994659814ebc940136349e1c2093","Cloud Management, Data Management, SaaS","Eon is an enterprise backup and recovery solution that uses automatic mapping and classification to ensure that only essential data is stored. The EON platform is designed to enhance operational excellence through cloud-based software that implements improvements, develops capabilities, and measures results effectively",Eon is a backup and recovery solution that uses automatic mapping and classification to ensure that only essential data is stored.,"Sequoia Capital, Lightspeed Venture Partners, Greenoaks, Meron Capital, INT3",Series B,"$77,000,000","$127,000,000",11-50,"New York, New York, United States",2,2024
Vizit,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/rgq6gn7nylbekz9yb0rk","Artificial Intelligence (AI), Content Creators, Enterprise Software, Machine Learning, Predictive Analytics","Vizit offers a visual AI platform that predicts and measures the effectiveness of ecommerce content. The technology analyzes audience preferences to enhance visual engagement and drive sales. This solution enables brands to create and optimize content that resonates with consumers, improving overall performance.",Vizit is a visual AI platform that optimizes ecommerce content for conversions.,"Roll Tack Ventures, Brand Foundry Ventures, Industry Ventures, Nick Candito, eGateway Capital",Series B,"$25,000,000","$35,000,000",11-50,"Boston, Massachusetts, United States",9,2020
Cacheflow,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/pm6lh8fpozcfuoo6ajlp","B2B, FinTech, Payments, SaaS, Sales","Cacheflow is a zero-code SaaS sales platform that automates proposal-to-payment with easy-to-use. The company's solution simplifies the SaaS sales flow, integrating it into a single, no-code platform. It lets sales teams generate dynamic quotes in seconds and streamlines the buying process with simple configuration, interactive B2C-style checkout, and integrated payments. Cacheflow was founded in 2021 and is based in San Francisco, California.",Cacheflow is a zero-code SaaS sales platform that automates the proposal-to-payment process.,"Google Ventures, Notable Capital, Ron Pragides, Pelion Venture Partners",Seed,"$10,000,000","$16,000,000",11-50,"Los Altos, California, United States",12,2021
SurrealDB,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/enmyhccs706gekv2staj","Big Data, Cloud Computing, Database, Developer Platform, Developer Tools, Enterprise Software, Open Source","SurrealDB is an innovative, multi-model, cloud-ready database, suitable for modern and traditional applications. Its versatility, and focus on developer experience, along with the ability for deployment on cloud, on-premise, embedded, and in edge computing environments, allows developers and organizations to meet the needs of their applications, without needing to worry about scalability or keeping data consistent across multiple different database platforms.",SurrealDB is the ultimate multi-model database for tomorrow's applications,"Alumni Ventures, Georgian, FirstMark, Crew Capital",Series A,"$20,000,000","$26,000,000",11-50,"London, England, United Kingdom",8,Sep 2021
Numeric,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/qam8sg70xwyebwth0p3u","Accounting, Analytics, Artificial Intelligence (AI), FinTech, Software","Companies rely on Numeric to ensure their financial data is accurate, automate the month-end close, and generate real-time insights. Rated 4.9 / 5 on G2",The modern platform for accounting data & ops,"Founders Fund, Leblon Capital, Menlo Ventures, 8VC, IVP",Series A,"$28,000,000","$38,000,000",11-50,"San Francisco, California, United States",5,"May 1, 2021"
Noetica AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ammls7di3as5xo5lsovj","Artificial Intelligence (AI), Finance, Software",Noetica is an artificial intelligence-powered software platform that assists dealmakers in benchmarking corporate loan transactions.,Noetica is an artificial intelligence-powered software platform that assists dealmakers in benchmarking corporate loan transactions.,"Lightspeed Venture Partners, Flybridge, Company Ventures, Firsthand Alliance, Bling Capital",Series A,"$22,000,000","$28,000,000",11-50,"New York, New York, United States",8,2022
Alembic,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/t9eybacvhnrulnq01xrz","Big Data, Business Intelligence, Marketing, Predictive Analytics, SaaS","Alembic’s software predicts revenue and ROI from marketing, applying AI and mathematics developed during the pandemic to identify causes, treatments, and mortality in disparate data and populations. Based on the results, Alembic analyzes and evaluates unstructured and complex data to predict marketing ROI and future revenue. Alembic is proud to have Fortune 200 and top brands as customers, including NVIDIA, Texas A&M, and North Sails.",Alembic is a MarTech startup that develops digital marketing tools and provides insights to help companies' marketing teams.,"Liquid 2 Ventures, Village Global, WndrCo, m]x[v Capital, IrishAngels",Series A,"$15,971,229","$26,821,229",11-50,"San Francisco, California, United States",6,"Nov 1, 2018"
Typeface,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/s7i6r1b6xjq6md5werld","Artificial Intelligence (AI), Content, Enterprise Software, Generative AI, Software","Typeface is a generative AI application for creating enterprise content. Enterprises can now create on-brand content faster combining content velocity with brand personalization and control. It offers self-service content development solutions for the entire lifecycle, allowing every employee to create captivating content with ease, speed, and brand authenticity.",Typeface offers a generative AI application that provides streamlined and personalized content creation for enterprises.,"Menlo Ventures, Lightspeed Venture Partners, Google Ventures, M12 - Microsoft's Venture Fund, Madrona",Series B,"$100,000,000","$165,000,000",11-50,"Palo Alto, California, United States",12,May 2022
Bolster AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/e5bt18njwxy7vxdrvml2","Artificial Intelligence (AI), Cyber Security, Machine Learning","Bolster AI protects against phishing and scams across multiple channels, such as the open web, social media, app stores, and even the dark web. Bolster protects companies of all sizes, from startups to Fortune 500s. With a patented detection engine built for speed, scale, and accuracy, Bolster identifies online records, apps, and accounts infringing on your brand in milliseconds and automates their takedown with Large Language Models (LLMs) for instant response and reducing the need for manual review by over 80% RedMarlin’s team has more than 40 years of combined cybersecurity experience from industry-leading companies including Cisco, Symantec, and McAfee. Founded in 2017 and based in Los Altos, California,","Bolster AI protects against phishing and scams across multiple channels, such as the web, social media, app stores, and even the dark web.","Silicon Valley Bank, M12 - Microsoft's Venture Fund, Crosslink Capital, Thomvest Ventures, Cervin Ventures",Series B,"$14,000,000","$46,000,000",51-100,"Santa Clara, California, United States",8,Mar 2019
Rogo,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/329933eea6534641a9f7cf75c1cb4e7e","Analytics, Artificial Intelligence (AI), Business Intelligence, Data Visualization, Generative AI, Software","Rogo is a secure AI platform designed specifically for elite financial institutions, helping them save time, unlock insights, and automate workflows. he platform offers full customization of assessments, including various formats like multiple-choice and drag-and-drop, making it versatile for different learning needs.",Rogo is a secure enterprise AI platform that helps finance professionals in customizing workflows and strategies.,"Khosla Ventures, FinTech Sandbox, BoxGroup, AlleyCorp, Company Ventures",Series A,"$18,500,000","$29,000,000",11-50,"New York, New York, United States",10,2021
Tamnoon,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/juqvcrq0txhypemid0fn","Artificial Intelligence (AI), Cloud Security, Computer, Cyber Security, Network Security","Tamnoon offers a managed cloud security remediation platform focused on enhancing cloud security and effectively managing threats. The platform simplifies detection and response to cloud security issues, improving overall cloud posture for businesses.",Tamnoon offers a managed cloud security remediation platform focused on enhancing cloud security and effectively managing threats.,"Blu Venture Investors, Mindset Ventures, Elron Ventures, Secret Chord Ventures, Merlin Ventures",Series A,"$12,000,000","$17,100,000",11-50,"Sammamish, Washington, United States",10,2022
Wokelo AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ekvosz7muqfdtllagigx","Artificial Intelligence (AI), Enterprise Software, Generative AI, Market Research","Wokelo is a Gen-AI powered investment research platform for automating complex research workflows like due diligence, sector research, and portfolio monitoring. Leveraging its proprietary large language model (LLM) based-agents, Wokelo automates and streamlines the curation, synthesis, and triangulation of data, delivering client-ready outputs. Wokelo works with leading private equity funds, investment banks, consulting firms, and corporates to make data-driven decisions.",Secure Generative AI platform for accelerated business research enabling investment and strategy professionals produce human-like synthesis,"Upsparks, Array Ventures, Rebellion Ventures, Geek Ventures, KPMG",Seed,"$4,000,000","$5,500,000",11-50,"Seattle, Washington, United States",8,"Feb 9, 2023"
Cyferd,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fezhtf9hx9qsxrkoxlwy","Apps, Data Integration, Developer Platform, Enterprise Software, Information Technology, Internet, Software, Web Development","Cyferd excels with a unified data model, empowering both professional and citizen developers to create robust, code-free, cloud-based business applications. Unlike traditional solutions using RPA and legacy systems, Cyferd allows seamless reuse and extension of integrated data, consolidating business solutions. Secure cloud hosting on the Cyferd Platform enables universal app deployment, streamlining data integration and accessibility for efficient business solutions.","Cyferd is an AI and data technology company, helping organizations to unify data and create AI orchestrated operating systems.",,Series A,—,—,51-100,"New York, New York, United States",9,"Jan 18, 2021"
Attention,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ccb8b7c94cdd4b4e861038ce2fc8e811","Artificial Intelligence (AI), Software","Attention automates work out of sales conversations. Our AI agent for sales transforms your calls into valuable insights and actions. Generate follow-up emails, update Salesforce, alert stakeholders of churn risk, create coaching scorecards and more. Revenue leaders have perfect visibility on their sales activity, providing them with accurate and updated enablement content and reports in minutes instead of days. Attention has helped 100+ sales teams close deals faster and boost revenue, join us now!",Enterprise-grade AI for Sales: Automate work out of your sales conversations,"MGV, Liquid 2 Ventures, Eniac Ventures, Alven, 645 Ventures",Series A,"$14,000,000","$17,134,991",11-50,"New York, New York, United States",5,Sep 2021
Swisstronik,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ykuu35a58arct5h8zqju","Blockchain, Compliance, Software, Web3","Swisstronik is a Web3 compliance startup developing a layer-1 network for scalable applications that protects users' privacy while meeting regulatory standards. Swisstronik provides a non-custodial cryptocurrency wallet that offers a high level of security for digital assets and ensures user control over their funds. The Swisstronik SuperApp serves as a secure multi-chain wallet and a gateway to various Web3 decentralized applications (dApps), enhancing user experience in the crypto space.",Swisstronik is a blockchain platform for regulatory-compliant transactions that serves Web 3.0 startups and traditional companies.,Syndicate Capital,Seed,"$5,000,000","$10,000,000",11-50,"Zug, Zug, Switzerland",4,2022
