Name,Logo URL
Mistral AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/70b627f4448c48aaa6e587e86cb0eaeb"
Read AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/japepdusatpwer4mx8uj"
11x,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/c07mjamwqaq63cuqo8cv"
Miros,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/q5xw5cz795wwlsvqhaxu"
Concentric AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ngoy74xt7bulllhenxcp"
Decagon,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/e0779b5e58c94c77bce457ce9a6ed2dc"
interface.ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/eycvxhhfikh54py6vhxi"
Sapien,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/p7trrirudinimpazk1uc"
Rad AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ufzt8xwdhpqa47l3rinx"
Hebbia,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/66d31df493c14db2916225c22d9e71e2"
Omneky,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/mebn2snxmhhp94nqbdle"
Tabs,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/71ab283e34a74931a3b037b4919e4e41"
Rollstack,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/sf2yjmwihhco2thklzyo"
Oxla,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wn2ejrokdgeg7lb7mnye"
Sifflet,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vwtorm1zj6ckkgidqlvu"
Dyania Health,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/jwhyfefhumbi2nlbm6q9"
Eon,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fc5a994659814ebc940136349e1c2093"
Vizit,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/rgq6gn7nylbekz9yb0rk"
Cacheflow,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/pm6lh8fpozcfuoo6ajlp"
SurrealDB,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/enmyhccs706gekv2staj"
Numeric,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/qam8sg70xwyebwth0p3u"
Noetica AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ammls7di3as5xo5lsovj"
Alembic,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/t9eybacvhnrulnq01xrz"
Typeface,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/s7i6r1b6xjq6md5werld"
Bolster AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/e5bt18njwxy7vxdrvml2"
Rogo,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/329933eea6534641a9f7cf75c1cb4e7e"
Tamnoon,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/juqvcrq0txhypemid0fn"
Wokelo AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ekvosz7muqfdtllagigx"
Cyferd,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fezhtf9hx9qsxrkoxlwy"
Attention,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ccb8b7c94cdd4b4e861038ce2fc8e811"
Swisstronik,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ykuu35a58arct5h8zqju"
Weaviate,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/xt1pfa9berdy2nzym88q"
Monogoto,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/akztlk0kiruozbnfh0te"
MiLaboratories,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/quxkryczzfztpgn35kko"
Taktile,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/cmvwkxks9w5alwzv41iu"
Apron,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vblhlnngfpe6whjpbrsl"
Paccurate,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ulfpgya5tfpfwvpnmft7"
Harmonic Security,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ab12c5b2a599434090d32e6ea3b022d3"
Qantev,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/dyabeph4tqg8ky8wx56d"
Twelve Labs,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ov2ac0zsoqq0dwpfamu1"
Wealth.com,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/mju9ih1tpaqnns7tlmqt"
Unstructured Technologies,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/kjc29v8rlyt3cvfxikxo"
Mutiny,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/yrvcqb8dgkffltz07hve"
Relevance AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fkozfrxv1dbylrnuj8lt"
Vectara,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/c2e727ac674346c893f47fa346d27c2c"
Pachama,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/iok7dhmzso3kvt06lxwg"
