Name,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Number of Employees,Headquarters Location,Founded Date
11x,"Artificial Intelligence (AI), Information Technology","11x develops autonomous digital workers to help organizations optimize their processes. The company focuses on simplifying go-to-market (GTM) operations by automating specific roles, allowing businesses to save on hiring budgets. Its primary products include Alice, an AI-powered sales development representative, and Jordan.",11x develops autonomous digital workers to help organizations optimize their processes.,"Abstract Ventures, Quiet Capital",Series A,"$24,000,000",11-50,"London, England, United Kingdom",Sep 2022
Tennr,"Artificial Intelligence (AI), Health Care","Tennr is a healthcare AI startup that optimizes healthcare operations by automating back-office tasks. The company leverages AI technology to replace traditional faxing systems and streamline communication processes in healthcare, ensuring patients receive timely care.",Tennr is a healthcare AI startup that optimizes healthcare operations by automating back-office tasks.,"Andreessen Horowitz, Y Combinator",Series A,"$18,000,000",11-50,"New York, New York, United States",2021
Sahara AI,"Artificial Intelligence (AI), Blockchain","Sahara AI is a decentralized AI network that enables freely and securely deploying autonomous AI with a high-performance, privacy-first network. Its collaboration network helps individuals and businesses deploy personalized, autonomous AI. It also offers a permissionless and privacy-centric network that allows cross-agent communication, knowledge transfer, and capitalization between individuals.","Sahara AI is a decentralized AI network that enables freely and securely deploy autonomous AI with high-performance, privacy-first network.","Alumni Ventures, Polychain, Sequoia Capital",Series A,"$37,000,000",11-50,"Los Angeles, California, United States",2023
HeyGen,"Generative AI, Software, Web Apps","Movio is bringing the futurist way of creating videos - by turning your text into realistic spokesperson videos in minutes, right from you broswer. No actors, cameras or editing needed. All you need is your story to tell.","Next-gen generative AI video platform with customizable AI avatars, right from your browser","Thrive Capital, Benchmark, Bond",Series A,"$60,000,000",11-50,"Los Angeles, California, United States",Nov 2020
Nurix AI,"Artificial Intelligence (AI), Data Integration",Nurix AI promotes data quality and integrity to provide accurate generative AI solutions.,Nurix AI promotes data quality and integrity to provide accurate generative AI solutions.,"General Catalyst, Accel, Meraki Labs",Series A,"$15,000,000",11-50,"Bengaluru, Karnataka, India",2024
e6data,"Analytics, Big Data, Cloud Computing","e6data develops a high-performance lakehouse compute engine designed for enterprise-level data analytics. By boosting the ROI on current platforms and architectures, e6data enables businesses to avoid ecosystem lock-in. Their next-generation SQL engine delivers five times the performance, reduces Total Cost of Ownership by 50%, and ensures smooth adoption. The solution integrates effortlessly with leading data lakehouse formats, data catalogs, governance frameworks, SQL standards, dialects, object stores, and major cloud providers.",e6data develops Lakehouse compute engines designed for enterprise-level data analytics.,"Accel, Founder Bank Capital, BEENEXT",Series A,"$10,000,000",11-50,"College Station, Texas, United States",Sep 2020
Ideogram,"Artificial Intelligence (AI), Generative AI",Ideogram is an artificial intelligence startup that provides generative text-to-image technology.,Ideogram is an artificial intelligence startup that provides generative text-to-image technology.,"Andreessen Horowitz, Index Ventures",Series A,"CA$80,000,000",1-10,"Toronto, Ontario, Canada",2022
Anysphere,"Artificial Intelligence (AI), Machine Learning",Anysphere is a company that builds Artificial Intelligence tools and assistants to help humans.,Anysphere is a company that builds Artificial Intelligence tools and assistants to help humans.,"Andreessen Horowitz, Thrive Capital",Series A,"$60,000,000",1-10,"Buffalo, New York, United States","Jan 6, 2022"
Skild AI,"Artificial Intelligence (AI), Information Technology",Skild AI is a startup that develops software to power various robots including ones with two or four legs.,Skild AI is a startup that develops software to power various robots.,"Amazon, SoftBank, General Catalyst",Series A,"$300,000,000",11-50,"Pittsburgh, Pennsylvania, United States",2023
Farcaster,"Blockchain, E-Commerce, Information Technology","Farcaster is a social network that helps coders, fitness enthusiasts, and meme makers find people based on their interests. The company focuses on increasing daily active users and adding developer primitives to the protocol, such as channels and direct message delivery. It aims to create a decentralized social network that allows users to communicate directly without the need for intermediaries.","Farcaster is a social network that helps coders, fitness enthusiasts, and meme makers find people based on their interests.","Andreessen Horowitz, First Round Capital",Series A,"$150,000,000",1-10,"Los Angeles, California, United States",2020
