Name,Market Size,Innovation Level,Market Competition,User Fit,Industry Relevance,Team Size and Traction,Funding and Validation,Total Score
Foundry,5,4,3,5,5,3,4,8.3
Doppel,5,4,3,5,5,4,4,8.7
knownwell,4,3,3,4,4,3,4,7.1
Summer Health,4,4,3,4,5,2,4,7.6
Valar Labs,5,4,3,5,5,2,4,7.6
Kaedim,4,4,3,4,4,3,3,6.8
Bold,4,3,3,4,4,3,3,6.7
LangChain,5,4,3,5,5,3,4,8.3
Quilt,4,3,2,5,5,2,3,6.8
Binocs,4,4,3,5,4,3,3,7.2
Zibra AI,4,4,3,5,4,3,2,6.9
hOS,5,4,2,5,5,3,3,7.6
Angle Protocol,4,3,3,3,4,2,2,6.3
Eder Labs (dba ColorIt),5,4,3,4,4,2,2,6.3
Buidler DAO,4,4,3,3,5,3,3,7.0
Vantage,5,3,2,4,5,2,3,7.0
Gladia.io,4,3,2,5,4,3,3,7.1
xalts,4,5,3,4,5,3,2,7.6
Spade,4,4,3,5,5,3,3,7.7
Marker Learning,4,3,3,4,4,3,4,7.4
Sound,4,4,3,3,3,4,2,6.7
Sloyd,5,5,3,5,5,3,3,8.2
Nexue,5,4,2,4,5,2,3,7.2
11x,4,4,3,5,5,3,4,8.3
Tennr,5,4,3,5,5,3,3,8.6
Sahara AI,5,4,3,5,5,3,3,8.6
HeyGen,4,4,3,5,5,3,4,8.3
Nurix AI,4,3,3,5,5,2,3,7.6
e6data,4,4,3,5,5,3,3,8.1
Ideogram,5,4,2,5,5,2,4,8.5
Anysphere,5,4,2,5,5,2,4,8.5
Skild AI,4,4,3,5,5,4,4,8.4
Farcaster,5,4,2,4,5,2,3,8.1
Function Health,4,4,3,5,5,3,4,8.3
Viggle AI,4,4,3,5,5,3,3,8.1
Napkin AI,4,3,2,4,4,2,3,6.8
Caldera,4,4,3,3,5,3,4,7.9
Decagon,5,4,4,5,5,2,3,8.7
Factory,5,4,3,5,5,4,4,8.9
Black Forest Labs,5,4,3,5,5,3,4,8.8
Leya,5,4,3,5,4,4,3,8.3
Civitai,4,4,3,5,5,3,3,8.1
Fal.ai,4,3,2,5,5,2,3,7.4
Hippocratic AI,4,4,3,5,5,3,3,8.1
Veri,4,3,3,4,4,3,3,7.1
Frame,4,3,2,4,4,3,3,6.9
Sema4.ai,5,4,3,5,5,2,3,8.5
Series Entertainment,5,4,3,5,5,3,4,8.8
Dust,5,4,3,5,5,2,3,8.5
Udio,4,4,3,5,4,2,3,7.6
Tacto,4,4,3,5,4,3,4,7.9
Eclipse,4,4,2,4,5,3,3,7.7
Syrup Tech,4,4,3,5,5,3,3,8.1
Black Ore Technologies,4,3,3,5,4,4,4,7.6
LogX,4,5,2,4,5,3,3,8.1
Adaptive Real Estate,4,3,3,4,4,2,3,7.0
Blockaid,5,4,3,4,5,4,4,8.7
nsave,4,3,3,4,4,2,3,7.0
Allium,4,3,3,5,4,3,3,7.3
Privy,4,3,2,4,5,3,4,7.5
XFactor,4,4,3,5,5,3,4,8.3
Rainforest,4,3,2,4,5,4,3,7.4
Enterpret,4,3,3,5,4,3,2,7.1
Fibr,4,4,3,5,5,4,3,8.2
Turnkey,4,4,3,3,4,2,4,7.4
Proof of Play,4,4,3,5,4,2,4,7.8
